,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
"('004_(30.0, 40.0]', '001_(0.0, 10.0]')",0.7766954644911759,0.5918164711665255,0.5539182000122206,0.065808644973288,0.0,0.23828358772315905,0.10029140359397766,0.0,0.2755295004854797,0.1559009227780476,0.0,0.34658651076455516,0.17702768334142788,0.0,0.376970552908129,0.20835356969402624,0.0,0.4025982020395328,0.22559494900437105,0.0,0.4105805966812409,0.3227294803302574,0.0,0.453411892701456,215.5
"('004_(30.0, 40.0]', '002_(10.0, 20.0]')",0.8495136316313671,0.5593071450750547,0.6433872914950888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2886751345948129,0.16666666666666666,0.0,0.2886751345948129,0.16666666666666666,0.0,0.2886751345948129,0.16666666666666666,0.0,0.2886751345948129,9.0
"('004_(30.0, 40.0]', '003_(20.0, 30.0]')",2.4137080704176808,2.4137080704176808,,,,,,,,,,,,,,,,,,,,,,,1.0
"('005_(40.0, 50.0]', '000_(0.0, 0.0)')",0.679682927128149,0.6066227746601596,0.5135559415597969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.5,0.25,0.0,0.5,0.5,0.5,0.5773502691896257,101.0
"('005_(40.0, 50.0]', '001_(0.0, 10.0]')",0.7903344675429866,0.6202270660076108,0.6686625576762485,0.0,0.0,0.0,0.16666666666666666,0.0,0.3892494720807615,0.16666666666666666,0.0,0.3892494720807615,0.16666666666666666,0.0,0.3892494720807615,0.16666666666666666,0.0,0.3892494720807615,0.25,0.0,0.4522670168666455,0.5,0.5,0.5222329678670935,53.0
"('005_(40.0, 50.0]', '002_(10.0, 20.0]')",1.1595628272281582,1.2139600404883397,1.0581941367800465,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.0
"('005_(40.0, 50.0]', '003_(20.0, 30.0]')",0.712149988633779,0.712149988633779,,,,,,,,,,,,,,,,,,,,,,,1.0
"('006_(50.0, inf]', '000_(0.0, 0.0)')",0.7327596690517488,0.5429845195540094,0.6404080767990461,0.0,0.0,0.0,0.013768115942028985,0.0,0.11667832595105897,0.035869565217391305,0.0,0.18320688762418647,0.049637681159420285,0.0,0.21506612352118237,0.07717391304347826,0.0,0.2652383316595337,0.09094202898550724,0.0,0.2859968832508845,0.20108695652173914,0.0,0.3989122207809971,717.5
"('006_(50.0, inf]', '001_(0.0, 10.0]')",0.7411296507299038,0.5826923436617124,0.5707812707055153,0.07423892100192678,0.0,0.26297289542031205,0.1318111753371869,0.0,0.338226802621249,0.20360308285163775,0.0,0.4037317112248075,0.2518304431599229,0.0,0.435085590994239,0.2642774566473989,0.0,0.4419663681202971,0.2858381502890173,0.0,0.4529539391190821,0.3836416184971098,0.0,0.48777791538107085,805.5
"('006_(50.0, inf]', '002_(10.0, 20.0]')",0.8582401086440641,0.602961288724927,0.6598577743421932,0.05555555555555555,0.0,0.16666666666666669,0.2361111111111111,0.0,0.47047927592204924,0.2361111111111111,0.0,0.47047927592204924,0.2361111111111111,0.0,0.47047927592204924,0.2361111111111111,0.0,0.47047927592204924,0.3611111111111111,0.25,0.5091544105168622,0.4861111111111111,0.5,0.47047927592204924,28.5
"('006_(50.0, inf]', '003_(20.0, 30.0]')",0.9750760693490133,0.9750760693490133,,,,,,,,,,,,,,,,,,,,,,,1.0
