,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_user,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",1.1303136961290914,1.0529400268313494,0.7346011525724857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2886751345948129,8.0
"002_(10.0, 20.0]",0.6554371229592517,0.5526841374245313,0.5287359249309603,0.03792735042735043,0.0,0.19168436604037856,0.055956196581196584,0.0,0.23077571619984938,0.08961004273504274,0.0,0.2868965702359973,0.12139423076923075,0.0,0.32797323228061653,0.1498397435897436,0.0,0.35857240632651155,0.17828525641025642,0.0,0.38457671288677087,0.2532051282051282,0.0,0.4369073798597608,520.0
"003_(20.0, 30.0]",0.8017437751073295,0.6628813563787537,0.5868347903914539,0.020369104579630894,0.0,0.1419428476342657,0.07019822282980177,0.0,0.25710438576987615,0.11093643198906356,0.0,0.31607431062280417,0.14948735475051264,0.0,0.35836645719174565,0.16452494873547505,0.0,0.37315653886732253,0.17737525632262474,0.0,0.3844340322360775,0.2550922761449077,0.0,0.43874467700610775,481.5
"004_(30.0, 40.0]",0.7675528183633502,0.589869298700572,0.5524324496606761,0.05177649559672032,0.0,0.21288844718560723,0.07880352262374735,0.0,0.24781783014293765,0.12268448223504404,0.0,0.3143172408243085,0.15077436987549347,0.0,0.35732943640361997,0.18114181597327667,0.0,0.38625829291402003,0.19465532948679015,0.0,0.3950668133225397,0.2846948071667173,0.0,0.44349873726606265,281.5
"005_(40.0, 50.0]",0.7283893516637395,0.612301996186496,0.5828330893111711,0.0,0.0,0.0,0.07692307692307693,0.0,0.1877669040497027,0.07692307692307693,0.0,0.1877669040497027,0.20192307692307693,0.0,0.4377669040497027,0.20192307692307693,0.0,0.4377669040497027,0.2403846153846154,0.0,0.4692645048267573,0.4807692307692308,0.25,0.5481123954261983,156.5
"006_(50.0, inf]",0.7393062400196325,0.5726655402887221,0.605198491037408,0.051283343411946514,0.0,0.2205227954117535,0.09853524155076263,0.0,0.29647535039856243,0.1518175099106363,0.0,0.3582944321286613,0.186538332325472,0.0,0.39021640942099045,0.2029328764362024,0.0,0.40289227554604146,0.22342605657461534,0.0,0.41728752055164303,0.32396022307330513,0.0,0.468291717587353,1552.5
