,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_item,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",0.7743522725894794,0.6042275428771973,0.6632733426059587,0.00273224043715847,0.0,0.03696106354772864,0.00546448087431694,0.0,0.052127038349250115,0.008082281921437359,0.0,0.08830576861387118,0.018896804280033187,0.0,0.13276382117031393,0.026864646811432497,0.0,0.16106740694405364,0.032214688295711384,0.0,0.17620636576141763,0.09630074671701999,0.0,0.29577500879901153,1359
"001_(0.0, 10.0]",0.7533882883795808,0.615623950958252,0.5976396367304839,0.02527888348321785,0.0,0.14765213198200883,0.0426998869723328,0.0,0.1856699312791755,0.055123101872327884,0.0,0.2236892678834145,0.06445034154012483,0.0,0.24402897360392745,0.07373826723671925,0.0,0.26153288637513294,0.08481006437662784,0.0,0.27795791662009073,0.16946287286844564,0.0,0.37523918610287404,1590
"002_(10.0, 20.0]",0.7803887298718977,0.6591861248016357,0.6274380315944698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
"003_(20.0, 30.0]",1.0730324586232503,1.2206189632415771,0.7862532593049526,,,,,,,,,,,,,,,,,,,,,,3
"004_(30.0, 40.0]",0.716423511505127,0.716423511505127,,,,,,,,,,,,,,,,,,,,,,,1
