,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_user,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",0.8379699616205125,0.7515974044799805,0.7402974871434449,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.5
"001_(0.0, 10.0]",0.5638174144630759,0.41280102729797363,0.48111767602970623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"002_(10.0, 20.0]",0.6523556547595926,0.5042757987976074,0.5609662454813917,0.020833333333333332,0.0,0.10097046826172941,0.0248015873015873,0.0,0.1455140085804668,0.03521825396825397,0.0,0.1668550540162578,0.039186507936507936,0.0,0.1850531102384751,0.039186507936507936,0.0,0.1850531102384751,0.043154761904761904,0.0,0.19884348647454256,0.09424603174603174,0.0,0.28951900986672846,483.0
"003_(20.0, 30.0]",0.7540802075136854,0.649273157119751,0.6146866216489273,0.01818181818181818,0.0,0.09402499978101489,0.027629233511586453,0.0,0.15413348376259575,0.041265597147950084,0.0,0.17994578591737243,0.064349376114082,0.0,0.22625655588022414,0.07344028520499107,0.0,0.23706830859793115,0.07834224598930481,0.0,0.25229781513591415,0.15285204991087342,0.0,0.3455825062579102,403.0
"004_(30.0, 40.0]",0.7946905716126411,0.6688070297241211,0.5862362726134411,0.011111111111111112,0.0,0.07453559924999296,0.011111111111111112,0.0,0.07453559924999296,0.03222222222222222,0.0,0.17491521668865112,0.052222222222222225,0.0,0.22415350731104394,0.052222222222222225,0.0,0.22415350731104394,0.06222222222222222,0.0,0.24122829637893117,0.12444444444444444,0.0,0.3290635359615862,297.5
"005_(40.0, 50.0]",0.8039560226126026,0.6394335627555847,0.6510102628796226,0.0625,0.0,0.1767766952966369,0.0625,0.0,0.1767766952966369,0.0625,0.0,0.1767766952966369,0.0625,0.0,0.1767766952966369,0.0625,0.0,0.1767766952966369,0.0625,0.0,0.1767766952966369,0.125,0.0,0.23145502494313788,62.0
"006_(50.0, inf]",0.7491726334519384,0.5723867416381836,0.6220689436883498,0.008960573476702509,0.0,0.06645165295886105,0.008960573476702509,0.0,0.06645165295886105,0.02733175820113474,0.0,0.1428359190482921,0.03091598759181574,0.0,0.1499442422268358,0.04122667438159988,0.0,0.18956672622743256,0.04974524647604353,0.0,0.21356635645517194,0.12190398122699583,0.0,0.32404434024789064,1737.0
