,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_user,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",1.1471493627343858,0.9299948215484619,1.0174757168964683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
"002_(10.0, 20.0]",0.7181710927933007,0.57659512758255,0.5852770772418165,0.016260162601626018,0.0,0.08905145292933633,0.028455284552845527,0.0,0.11630959618392435,0.04017403455284553,0.0,0.19225103005208855,0.052051575203252036,0.0,0.22105556649840719,0.06392911585365854,0.0,0.2448721490676694,0.08018927845528456,0.0,0.2684809418337696,0.15161331300813008,0.0,0.35975564379349156,673.0
"003_(20.0, 30.0]",0.7635473967522084,0.6681361198425293,0.5836513993812288,0.012014180672268907,0.0,0.10833492485141055,0.035451680672268907,0.0,0.1678224339699772,0.043264180672268907,0.0,0.18107977922643154,0.051076680672268907,0.0,0.19272733769966133,0.05948004201680672,0.0,0.22560517304906208,0.07149422268907563,0.0,0.24778527019653432,0.10812762605042017,0.0,0.30795301756101856,438.0
"004_(30.0, 40.0]",0.8303519830884791,0.7370972633361816,0.6170856667594847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04565363881401617,0.0,0.20979401524490016,213.0
"005_(40.0, 50.0]",0.8000395987632769,0.5644668936729431,0.6780473632808324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,29.5
"006_(50.0, inf]",0.7702184797077177,0.5957993268966675,0.6544624646084516,0.02162196265051554,0.0,0.13927183755567565,0.033365779796668826,0.0,0.17136227730591605,0.04544307448265916,0.0,0.2080724113885814,0.05883625351503353,0.0,0.23581569116950507,0.06849808926382579,0.0,0.2525410509835463,0.07464489148460596,0.0,0.26299799669221124,0.17332720455692552,0.0,0.37927633159840063,1641.0
