,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_item,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",0.7236480917163957,0.5654965124427471,0.605679546130627,0.0,0.0,0.0,0.008351648351648353,0.0,0.09006569787216179,0.025274725274725275,0.0,0.15704640560836108,0.04483516483516484,0.0,0.20751347170884157,0.0701098901098901,0.0,0.25591958367236406,0.08681318681318681,0.0,0.28234655968153843,0.15956043956043955,0.0,0.36715708753702303,1367.5
"001_(0.0, 10.0]",0.7520657574160068,0.6025370942227786,0.5680708596197042,0.06101040617656932,0.0,0.2394432363647533,0.11423949125358995,0.0,0.31617820661137896,0.17528253328857557,0.0,0.3791029662474999,0.2182639588228712,0.0,0.41364973010775463,0.23809723620901868,0.0,0.42649976796981404,0.25786524187833354,0.0,0.43783390686328527,0.35988959755324307,0.0,0.4789846199979131,1575.5
"002_(10.0, 20.0]",0.8244637856469084,0.5658847771298714,0.6506756760493961,0.058823529411764705,0.0,0.16605279103876786,0.15073529411764708,0.0,0.3732530072949808,0.15073529411764708,0.0,0.3732530072949808,0.21323529411764708,0.0,0.4279313369414818,0.21323529411764708,0.0,0.4279313369414818,0.2757352941176471,0.0,0.45525089675172675,0.3382352941176471,0.25,0.4637375539107683,55.0
"003_(20.0, 30.0]",1.2690025494373716,1.2690025494373716,0.4156748144815418,,,,,,,,,,,,,,,,,,,,,,2.0
