,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
labeled_item,,,,,,,,,,,,,,,,,,,,,,,,,
"000_(0.0, 0.0)",0.7441145928293251,0.5829267501831055,0.6231879731021159,0.0,0.0,0.0,0.002840909090909091,0.0,0.037688918072220454,0.011363636363636364,0.0,0.07472894743280936,0.02553608115048793,0.0,0.15098937962879824,0.03688366718027735,0.0,0.1808012160526191,0.04819915254237288,0.0,0.21211644496012944,0.0879558294812532,0.0,0.2698005355256766,1409
"001_(0.0, 10.0]",0.7371014619211239,0.6020302176475525,0.601580148219382,0.021666666666666667,0.0,0.10197328436721882,0.024861554845580405,0.0,0.14187721996697683,0.04638977635782748,0.0,0.19212418275858928,0.05458466453674121,0.0,0.21199969473159921,0.05944621938232162,0.0,0.22472678940390295,0.06423855165069223,0.0,0.23791150654122273,0.14271565495207666,0.0,0.34621475278034275,1508
"002_(10.0, 20.0]",0.758040224477586,0.5734794735908508,0.6520951803208055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159090909090909,0.0,0.42586675648895167,77
"003_(20.0, 30.0]",0.5730368982661854,0.5111485719680786,0.6195954871904065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
